id,title,flag,duration,block,author_main,gender
i6JLs7KE0sc,Hvala ti za ljubav,mandatory,2:51,ulaz_mladenaca,Saban Saulic,m
n25Cm9skPfY,Makedonsko devojče,backlog,3:00,starogradska,Nenad Milevski,m
GBnVOIlR4RE,Jovano jovanke,mandatory,3:33,starogradska,Nenad Milevski,m
GgPKa60T388,Ja te pjesmom zovem,mandatory,4:10,starogradska,Hanka Paldum,f
x9Dhjof1-cA,Crne kose,mandatory,3:28,starogradska,Hanka Paldum,f
_2Raxs-3Jvo,Volim da te volim,mandatory,4:42,starogradska,Radoslav Rodic Roki,m
34j8intgGqk,Neznanka,mandatory,3:23,starogradska,Radisa Markovic,m
x-e4dfAnORk,Luckasta si ti,mandatory,3:28,starogradska,Miroslav Ilic,m
zhgpLHjPe24,Moja mala nema mane,optional,3:30,starogradska,Zvonko Bogdan,m
ygAXxdeGr3M,"Ej, Branka, Branka",mandatory,3:45,starogradska,Toma Zdravkovic,m
EK9gk-OCP88,Ti meni lažeš sve,mandatory,4:00,starogradska,Nenad Milevski,m
BgQMU3gIIJ8,Veseli se kucni domacine (instrumental),backlog,2:57,pre_ulaska,Ivan Zivkovic,inst
mF4uRu8dX_M,Hvatanje bidermajera,mandatory,5:00,bidermajer,Televizija da,inst
iW5FA-ituzQ,Prodji sa mnom ispod duge,mandatory,3:11,prvi_ples,Bojana Barjaktarevic,f
qrhnxvGteC8,Trebaš mi,mandatory,3:59,prvi_ples,Darko Filipovic,m
rtbWT5HPJTk,Imati pa nemati,mandatory,4:23,prelaz1,Nenad Milevski,m
E28RTAl911I,Ni jedne usne se ne ljube same,mandatory,3:17,prelaz1,Dzej,m
qvt8YryShhU,Samo jednu ljubav imam,mandatory,3:44,posle_torte,Vlada Divljan,m
eWVnVlZ71vo,Meni trebaš ti,mandatory,3:25,posle_torte,Oliver Dragojević,m
5ubSStQwcKY,"Mjerkam te, mjerkam",mandatory,5:12,posle_torte,Zdravko Colic,m
